date,Q1,Q2,Q3,Q4,long_short,long_only_top,short_only_bottom
2016-03-31,0.02613072586065468,-0.006862590318614359,0.0012962778348948323,0.014910203299562053,-0.011220522561092627,0.014910203299562053,-0.02613072586065479
2016-04-01,0.0013616727225327363,-0.0005851010292300396,0.009728322116788313,0.012070359209660042,0.009880207778536265,0.012070359209660042,-0.0026231754162319154
2016-04-04,0.013801935952942213,0.0003193144963533623,-0.0010299428950992784,0.004058475032842734,-0.010660430378910402,0.004058475032842734,-0.015013933496674348
2016-04-05,0.016806897173542668,0.016825500427133155,0.007608195723321831,0.015912940977888645,-0.0019121974223749172,0.015912940977888645,-0.017933482994172745
2016-04-06,-0.0039704070326804786,0.01942589267373873,-0.0034672131558036723,0.005770979127988962,0.008518591473318793,0.005770979127988962,0.0021339406546003747
2016-04-07,-0.0069658759102536605,0.022311011396691782,-0.0033423086275531366,0.005666865815559419,0.011447222149801872,0.005666865815559419,0.005147767805506298
2016-04-08,-0.002672027556328782,0.03069936757708236,-0.001693382549176059,0.01767968506549078,0.019155622483510104,0.01767968506549078,0.000801540436734749
2016-04-11,0.01242722097866178,0.04213494851856314,0.007368889707269455,0.03659318486294638,0.022666839808872297,0.03659318486294638,-0.014350296883369307
2016-04-12,0.03858027734855507,0.058331827970931505,0.03676451183479923,0.06528157765315723,0.02455224534083733,0.06528157765315723,-0.03981163544917721
2016-04-13,0.04821750103729605,0.04530918855877797,0.03675839235742817,0.07586390068155113,0.025222915848645,0.07586390068155113,-0.04872144266805356
2016-04-14,0.03624146292920094,0.05732738229013212,0.046167217748062095,0.08468900863421003,0.045345946999839626,0.08468900863421003,-0.03785294615588186
2016-04-15,0.03383976344341444,0.05865715295487717,0.05606619538353863,0.09083112151008277,0.05368807853521429,0.09083112151008277,-0.035622975471311547
2016-04-18,0.008037779288340374,0.05267272290211977,0.044934188287316434,0.09763387258296752,0.08655654151850056,0.09763387258296752,-0.01155460280248577
2016-04-19,0.0204075462171438,0.0857260605994754,0.040812482625561364,0.1042005390481271,0.07972365592367514,0.1042005390481271,-0.023683948980179337
2016-04-20,0.015715840909352075,0.08569767513565063,0.039901748063374765,0.09899452094173422,0.07959747325494448,0.09899452094173422,-0.01919497081098298
2016-04-21,-0.027820374553886085,0.07255671407991149,0.03433458571361592,0.08289306835039145,0.11005455620857663,0.08289306835039145,0.02284487671169777
2016-04-22,-0.02626954203393128,0.07443820763779141,0.038353246242581074,0.06791867318534073,0.09293379597969786,0.06791867318534073,0.021213222379355967
2016-04-25,-0.029161841737490812,0.0699103554720717,0.029511273511223957,0.0510915919420003,0.07895892692162554,0.0510915919420003,0.024246561509497333
2016-04-26,-0.047192433619848484,0.06887719358140787,0.037562001286138846,0.04464675496631054,0.09238185102399354,0.04464675496631054,0.0432690644677014
2016-04-27,-0.07196344623317463,0.053055715345845744,0.02202529063488723,0.03749493058561737,0.1133028776509577,0.03749493058561737,0.07039188765560178
2016-04-28,-0.08098077082084809,0.028545880723519934,0.027877403776431775,0.06611335670703267,0.15482987859554753,0.06611335670703267,0.0807924166518208
2016-04-29,-0.06506800831586568,0.04448201533361007,0.027030035863093715,0.13592470119076916,0.21045475781873213,0.13592470119076916,0.0620785611661987
2016-05-02,-0.08373475179274514,0.03357053114343356,0.016538397841111108,0.1214269250595319,0.21917355559850793,0.1214269250595319,0.08328389827084748
2016-05-03,-0.08475030357362079,0.027256202310605326,0.018021657833951155,0.1105518858644643,0.20870190155775736,0.1105518858644643,0.0844845668482439
2016-05-04,-0.0988282438996052,0.01821015019760064,0.025252409487965144,0.11806345020868969,0.23546901828582967,0.11806345020868969,0.10116559834833883
2016-05-05,-0.08958094357802948,0.02801464512519214,0.030228905782545334,0.13442796705554905,0.24087427539622785,0.13442796705554905,0.08986607756022802
2016-05-06,-0.08151753030506992,0.011944184040624473,0.037467880563134104,0.12711582403082677,0.22188582103562737,0.12711582403082677,0.08021333519553564
2016-05-09,-0.0758452539748401,-0.0042602892295608985,0.06510590244760572,0.13374606798740207,0.22152754247320883,0.13374606798740207,0.07354225682986648
2016-05-10,-0.08973619584916948,-0.019820648830360055,0.06342852269535393,0.13205228403750024,0.2380633588619081,0.13205228403750024,0.08967863783467056
2016-05-11,-0.09603406686185789,-0.016651719697252543,0.06377905826651387,0.13373984990149812,0.24847478506321763,0.13373984990149812,0.09721783193979805
2016-05-12,-0.09585976156125164,0.03271561485918828,0.06046484004358965,0.12257450794665448,0.23593877146492548,0.12257450794665448,0.09700626325450168
2016-05-13,-0.08127576583434515,0.04583652504772728,0.06974306035430766,0.1350719471292703,0.2297622920510496,0.1350719471292703,0.07931129296613171
2016-05-16,-0.06852338294837512,0.0334340041827319,0.05615500432034959,0.11948153586906263,0.1958015351845368,0.11948153586906263,0.06432987596502793
2016-05-17,-0.044549017965739623,0.044274199160874605,0.05718470197537262,0.11013112060796737,0.1550360954809371,0.11013112060796737,0.03693613097862558
